0.002	0
0.012	0
0.024	0.01
0.039	0.01
0.056	0.02
0.074	0.03
0.091	0.04
0.11	0.06
0.127	0.07
0.143	0.09
0.159	0.11
0.174	0.13
0.19	0.16
0.206	0.18
0.222	0.21
0.238	0.24
0.256	0.28
0.275	0.31
0.295	0.35
0.317	0.38
0.34	0.42
0.366	0.46
0.392	0.5
0.42	0.54
0.45	0.58
0.481	0.62
0.516	0.66
0.552	0.7
0.59	0.74
0.629	0.78
0.671	0.82
0.713	0.86
0.758	0.89
0.804	0.92
0.836	0.95
0.85	0.98
0.855	0.99
0.855	1.01
0.85	1.02
0.841	1.03
0.829	1.04
0.814	1.04
0.795	1.04
0.774	1.04
0.751	1.04
0.726	1.04
0.698	1.04
0.671	1.04
0.641	1.03
0.613	1.03
0.583	1.03
0.553	1.02
0.524	1.02
0.495	1.01
0.466	1.01
0.437	1
0.407	1
0.378	0.99
0.348	0.98
0.32	0.98
0.291	0.97
0.263	0.96
0.234	0.95
0.207	0.94
0.179	0.93
0.152	0.92
0.125	0.91
0.098	0.9
0.072	0.89
0.047	0.87
0.021	0.86
-0.005	0.84
-0.031	0.83
-0.055	0.81
-0.078	0.79
-0.099	0.77
-0.12	0.75
-0.139	0.73
-0.157	0.7
-0.174	0.68
-0.192	0.65
-0.209	0.62
-0.227	0.59
-0.245	0.55
-0.265	0.52
-0.285	0.48
-0.306	0.44
-0.329	0.4
-0.355	0.36
-0.38	0.32
-0.407	0.28
-0.436	0.23
-0.468	0.19
-0.5	0.15
-0.535	0.11
-0.571	0.06
-0.606	0.02
-0.643	-0.02
-0.681	-0.06
-0.72	-0.1
-0.76	-0.13
-0.798	-0.17
-0.813	-0.2
-0.819	-0.23
-0.82	-0.26
-0.816	-0.28
-0.809	-0.29
-0.8	-0.31
-0.789	-0.32
-0.776	-0.33
-0.761	-0.33
-0.745	-0.34
-0.726	-0.34
-0.706	-0.34
-0.684	-0.34
-0.66	-0.34
-0.634	-0.34
-0.608	-0.33
-0.579	-0.33
-0.551	-0.33
-0.523	-0.32
-0.494	-0.32
-0.464	-0.31
-0.435	-0.31
-0.406	-0.3
-0.378	-0.3
-0.35	-0.29
-0.321	-0.29
-0.292	-0.28
-0.265	-0.27
-0.236	-0.26
-0.209	-0.25
-0.181	-0.24
-0.153	-0.23
-0.124	-0.22
-0.099	-0.21
-0.074	-0.2
-0.047	-0.19
-0.023	-0.17
0.002	-0.16
0.028	-0.14
0.052	-0.12
0.076	-0.11
0.098	-0.09
0.119	-0.07
0.138	-0.04
0.155	-0.02
0.173	0.01
0.19	0.04
0.208	0.07
0.225	0.1
0.244	0.13
0.263	0.17
0.283	0.21
0.305	0.24
0.327	0.28
0.351	0.33
0.377	0.37
0.404	0.41
0.434	0.45
0.465	0.5
0.497	0.54
0.532	0.58
0.566	0.62
0.603	0.66
0.641	0.7
0.681	0.74
0.718	0.78
0.759	0.82
0.788	0.86
0.799	0.89
0.803	0.91
0.803	0.94
0.799	0.95
0.792	0.97
0.782	0.98
0.771	0.99
0.757	1
0.741	1
0.724	1.01
0.705	1.01
0.683	1.01
0.659	1.01
0.634	1.01
0.607	1
0.579	1
0.55	1
0.521	0.99
0.492	0.99
0.463	0.98
0.433	0.98
0.405	0.97
0.375	0.97
0.347	0.96
0.318	0.96
0.29	0.95
0.261	0.94
0.232	0.93
0.205	0.92
0.177	0.91
0.15	0.9
0.123	0.89
0.096	0.88
0.071	0.87
0.045	0.86
0.02	0.84
-0.007	0.83
-0.031	0.81
-0.056	0.8
-0.078	0.78
-0.1	0.76
-0.121	0.74
-0.14	0.72
-0.158	0.69
-0.175	0.66
-0.192	0.64
-0.209	0.61
-0.226	0.57
-0.244	0.54
-0.264	0.5
-0.284	0.47
-0.307	0.43
-0.329	0.39
-0.353	0.35
-0.379	0.31
-0.407	0.26
-0.437	0.22
-0.469	0.18
-0.501	0.14
-0.534	0.1
-0.569	0.05
-0.606	0.01
-0.643	-0.03
-0.682	-0.07
-0.721	-0.11
-0.76	-0.14
-0.8	-0.18
-0.816	-0.21
-0.822	-0.24
-0.824	-0.26
-0.821	-0.28
-0.815	-0.3
-0.806	-0.31
-0.795	-0.32
-0.783	-0.33
-0.767	-0.34
-0.751	-0.34
-0.732	-0.34
-0.712	-0.34
-0.689	-0.34
-0.665	-0.34
-0.639	-0.34
-0.611	-0.34
-0.582	-0.33
-0.553	-0.33
-0.525	-0.32
-0.496	-0.32
-0.466	-0.32
-0.438	-0.31
-0.408	-0.3
-0.38	-0.3
-0.351	-0.29
-0.322	-0.29
-0.294	-0.28
-0.267	-0.27
-0.238	-0.26
-0.21	-0.25
-0.182	-0.24
-0.155	-0.23
-0.128	-0.22
-0.102	-0.21
-0.076	-0.2
-0.05	-0.19
-0.024	-0.17
0.001	-0.16
0.026	-0.14
0.05	-0.12
0.074	-0.11
0.096	-0.09
0.117	-0.07
0.137	-0.04
0.154	-0.02
0.172	0.01
0.189	0.04
0.208	0.06
0.224	0.1
0.243	0.13
0.262	0.17
0.282	0.2
0.303	0.24
0.325	0.28
0.35	0.32
0.376	0.37
0.403	0.41
0.433	0.45
0.464	0.49
0.497	0.53
0.529	0.58
0.566	0.62
0.602	0.66
0.639	0.7
0.678	0.74
0.717	0.78
0.757	0.82
0.787	0.85
0.799	0.89
0.803	0.91
0.802	0.93
0.798	0.95
0.791	0.97
0.782	0.98
0.77	0.99
0.757	1
0.742	1
